gene>distance>LOG2FC
b1	615014	
b2	585172	1.309346
b3	579213	0.459566
b4	572557	0.694794
b5	559631	0.347012
b6	546152	0.568397
b7	538310	0.601394
b8	524741	0.59889
b9	479157	0.266321
b10	468338	1.165813
b11	458594	0.535948
b12	444391	0.441525
b13	437495	0.090339
b14	432355	0.160293
b15	406466	-0.32121
b16	402244	0.303974
b17	394991	0.277222
b18	390547	0.376
b19	383014	0.071866
b20	375748	0.150326
b21	366360	-0.33898
b22	361659	0.012282
a1	287819	0.871849
a2	278899	1.038467
a3	272016	1.173371
a4	265415	0.809051
a5	257828	0.626012
a6	250479	0.397928
a7	244293	0.835076
a8	225637	1.165884
a9	220224	0.415773
a10	212784	-0.04083
a11	207246	0.65493
a12	197874	0.639056
ga1	189669	-0.23438
ga2	182517	-0.00776
ga3	177109	0.010596
gb1	171172	-0.34156
ga4	166207	0.193792
gb2	161585	0.172643
ga5	157069	0.336097
ga6	144343	-0.22984
ga7	136610	-0.25402
gb4	131068	0.007567
ac1	127968	1.086302
ga8	125738	-0.21423
gb5	120473	0.641719
ga9	114508	1.157166
gb6	109350	0.609887
ga10	104428	0.699443
gb7	99825	0.814499
ga11	95671	-0.02788
gb8	89609	1.61388
ga12	85864	-0.25462
ac2	74426	0.087379
gc3	45034	-0.66117
gc4	36365	1.253005
gc5	31898	0.350555
